"Gene Symbol"	"Gene Name"
"ELF1"	"E74-like factor 1 (ets domain transcription factor)"
"CTH"	"Cystathionase (cystathionine gamma-lyase)"
"CCND2"	"Cyclin D2"
"CNGB1"	"Cyclic nucleotide gated channel beta 1"
"CRYM"	"Crystallin, mu"
"CNTN1"	"Contactin 1"
"C8A"	"Complement component 8, alpha polypeptide"
	"Transcribed locus"
"SFRS4"	"**Splicing factor, arginine/serine-rich 4"
"SFRS1"	"Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"
"PBX2"	"Pre-B-cell leukemia homeobox 2"
"PLEK"	"Pleckstrin"
	"CDNA FLJ33407 fis, clone BRACE2010535"
"HLA-DPB1"	"Major histocompatibility complex, class II, DP beta 1"
"MST1"	"Macrophage stimulating 1 (hepatocyte growth factor-like)"
"MEF2A"	"MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)"
"EPRS"	"Glutamyl-prolyl-tRNA synthetase"
"HLA-DQB1"	"Major histocompatibility complex, class II, DQ beta 1"
"CIITA"	"Class II, major histocompatibility complex, transactivator"
"PTK2"	"PTK2 protein tyrosine kinase 2"
"SULT1E1"	"Sulfotransferase family 1E, estrogen-preferring, member 1"
"EZH2"	"Enhancer of zeste homolog 2 (Drosophila)"
"METAP2"	"Methionyl aminopeptidase 2"
"DGKZ"	"Diacylglycerol kinase, zeta 104kDa"
"CASP9"	"Caspase 9, apoptosis-related cysteine peptidase"
"MGAT2"	"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
"TXNRD2"	"Thioredoxin reductase 2"
"KIAA0247"	"KIAA0247"
"PCBP1"	"Poly(rC) binding protein 1"
"SGCA"	"Sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein)"
"SLC16A2"	"Solute carrier family 16, member 2 (monocarboxylic acid transporter 8)"
"PFN1"	"Profilin 1"
"DDB1"	"Damage-specific DNA binding protein 1, 127kDa"
"MAP2K3"	"Mitogen-activated protein kinase kinase 3"
"DNAJB1"	"DnaJ (Hsp40) homolog, subfamily B, member 1"
"XRCC1"	"X-ray repair complementing defective repair in Chinese hamster cells 1"
	"Full-length cDNA clone CS0DD001YF18 of Neuroblastoma Cot 50-normalized of Homo sapiens (human)"
"CSTF2"	"Cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa"
"RCC1"	"Regulator of chromosome condensation 1"
"CHN1"	"Chimerin (chimaerin) 1"
"CRABP2"	"Cellular retinoic acid binding protein 2"
"CDC25A"	"Cell division cycle 25 homolog A (S. pombe)"
"CAV1"	"Caveolin 1, caveolae protein, 22kDa"
"GTF2IRD1"	"GTF2I repeat domain containing 1"
"PRELID1"	"PRELI domain containing 1"
"C20orf4"	"**Chromosome 20 open reading frame 4"
"CBR4"	"Carbonyl reductase 4"
"SLC25A16"	"Solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16"
"UBAP1"	"Ubiquitin associated protein 1"
	
"FLJ10404"	"**Hypothetical protein FLJ10404"
"LCP2"	"Lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)"
"MLF1"	"Myeloid leukemia factor 1"
"STAC"	"SH3 and cysteine rich domain"
"RTKN"	"Rhotekin"
"LOC646324"	"**Hypothetical LOC646324"
	
	
	
"ZSCAN22"	"Zinc finger and SCAN domain containing 22"
"KIAA1546"	"KIAA1546"
"C14orf104"	"Chromosome 14 open reading frame 104"
"VAV2"	"Vav 2 oncogene"
"HIC2"	"Hypermethylated in cancer 2"
"SCCPDH"	"Saccharopine dehydrogenase (putative)"
"EXOC7"	"Exocyst complex component 7"
"XTP3TPA"	"XTP3-transactivated protein A"
"BEX1"	"Brain expressed, X-linked 1"
	"Transcribed locus"
	
	
	
	
"UBXD5"	"UBX domain containing 5"
	
"RBJ"	"Ras-associated protein Rap1"
	"Transcribed locus"
"C15orf39"	"Chromosome 15 open reading frame 39"
	"Transcribed locus"
	"Transcribed locus"
"THAP5"	"THAP domain containing 5"
	
	"Transcribed locus"
	"Full length insert cDNA YH96F07"
"DKFZp667G2110"	"**Hypothetical protein DKFZp667G2110"
	"**Full-length cDNA clone CS0DC015YK09 of Neuroblastoma Cot 25-normalized of Homo sapiens (human)"
"BRWD1"	"Bromodomain and WD repeat domain containing 1"
"C4orf26"	"Chromosome 4 open reading frame 26"
"ZNF444"	"Zinc finger protein 444"
	
	
	"Transcribed locus"
	"Transcribed locus"
	
"ZC3H14"	"Zinc finger CCCH-type containing 14"
	"Full length insert cDNA clone YQ07F12"
"NIP30"	"NEFA-interacting nuclear protein NIP30"
	
	
"IFT122"	"Intraflagellar transport 122 homolog (Chlamydomonas)"
	
	"Transcribed locus"
"BHMT2"	"Betaine-homocysteine methyltransferase 2"
	"Homo sapiens, clone IMAGE:3621928"
	"Transcribed locus"
	"Transcribed locus"
"SUGT1L1"	"SGT1, suppressor of G2 allele of SKP1 like 1 (S. cerevisiae)"
"P18SRP"	"**P18SRP protein"
	"Transcribed locus"
"FLJ37953"	"Hypothetical protein FLJ37953"
	"Transcribed locus"
	
	"Transcribed locus"
	
	
"TYRP1"	"Tyrosinase-related protein 1"
"PROS1"	"Protein S (alpha)"
"ICA1"	"Islet cell autoantigen 1, 69kDa"
"OGT"	"O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)"
"B4GALT1"	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1"
"ZNF226"	"Zinc finger protein 226"
	
"RFXANK"	"Regulatory factor X-associated ankyrin-containing protein"
"CCDC47"	"Coiled-coil domain containing 47"
"LOC645638"	"Similar to WDNM1-like protein"
"ZCD1"	"Zinc finger, CDGSH-type domain 1"
"KLHL22"	"Kelch-like 22 (Drosophila)"
"LYK5"	"Protein kinase LYK5"
"SCN3B"	"Sodium channel, voltage-gated, type III, beta"
"UBE2E3"	"Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)"
"RAP2C"	"RAP2C, member of RAS oncogene family"
"COMMD5"	"COMM domain containing 5"
	
	"CDNA FLJ31353 fis, clone MESAN2000264"
"RGS12"	"Regulator of G-protein signalling 12"
"MICAL2"	"Microtubule associated monoxygenase, calponin and LIM domain containing 2"
"SLC2A3P1"	"Solute carrier family 2 (facilitated glucose transporter), member 3 pseudogene 1"
"PTCD3"	"Pentatricopeptide repeat domain 3"
	"CDNA FLJ11161 fis, clone PLACE1007021"
	
"SFRS2B"	"Splicing factor, arginine/serine-rich 2B"
"SCARA3"	"Scavenger receptor class A, member 3"
"ChGn"	"**Chondroitin beta1,4 N-acetylgalactosaminyltransferase"
	
"COMMD1"	"Copper metabolism (Murr1) domain containing 1"
"NISCH"	"**Nischarin"
	"Transcribed locus"
	"Transcribed locus"
"CMIP"	"C-Maf-inducing protein"
"SERPINA1"	"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1"
	"Transcribed locus"
"C22orf32"	"Chromosome 22 open reading frame 32"
"RTN4R"	"Reticulon 4 receptor"
"PTPRE"	"Protein tyrosine phosphatase, receptor type, E"
"TMEM127"	"**Transmembrane protein 127"
"HSPC157"	"HSPC157 protein"
"ARHGAP23"	"Rho GTPase activating protein 23"
"FLJ11184"	"Hypothetical protein FLJ11184"
	"Transcribed locus"
	
"OGFOD2"	"2-oxoglutarate and iron-dependent oxygenase domain containing 2"
	
"PTPN1"	"Protein tyrosine phosphatase, non-receptor type 1"
"CTNNBIP1"	"Catenin, beta interacting protein 1"
"AMD1"	"Adenosylmethionine decarboxylase 1"
	
	"Transcribed locus"
	"CDNA FLJ11723 fis, clone HEMBA1005314"
	"Transcribed locus"
"KIAA0831"	"KIAA0831"
"GOSR2"	"Golgi SNAP receptor complex member 2"
"PLIN"	"Perilipin"
"C20orf11"	"Chromosome 20 open reading frame 11"
"CCDC115"	"Coiled-coil domain containing 115"
"LOC728473"	"**Hypothetical protein LOC728473"
"CRTAP"	"Cartilage associated protein"
"FBXO9"	"F-box protein 9"
"FAM119B"	"Family with sequence similarity 119, member B"
	"Clone TUA8 Cri-du-chat region mRNA"
"FGF18"	"Fibroblast growth factor 18"
"RAI2"	"Retinoic acid induced 2"
"RP11-50D16.3"	"**Similar to RIKEN cDNA 8030451K01"
	
	
"RHOBTB3"	"Rho-related BTB domain containing 3"
	"Transcribed locus"
	
"PNPO"	"Pyridoxamine 5'-phosphate oxidase"
"SNAI2"	"Snail homolog 2 (Drosophila)"
	"Transcribed locus"
"CDKN2AIP"	"CDKN2A interacting protein"
"SHQ1"	"SHQ1 homolog (S. cerevisiae)"
"POPDC3"	"Popeye domain containing 3"
"C17orf42"	"Chromosome 17 open reading frame 42"
"SPTA1"	"Spectrin, alpha, erythrocytic 1 (elliptocytosis 2)"
	"Transcribed locus"
"CYGB"	"Cytoglobin"
"ZCCHC3"	"Zinc finger, CCHC domain containing 3"
"ARIH2"	"Ariadne homolog 2 (Drosophila)"
"CCDC50"	"Coiled-coil domain containing 50"
"H19"	"H19, imprinted maternally expressed untranslated mRNA"
	
"DNAJB6"	"DnaJ (Hsp40) homolog, subfamily B, member 6"
"CLDN23"	"Claudin 23"
"SNAP23"	"Synaptosomal-associated protein, 23kDa"
"SBNO2"	"Strawberry notch homolog 2 (Drosophila)"
	"**CDNA FLJ43417 fis, clone OCBBF2026025"
"LOC348180"	"Hypothetical protein LOC348180"
	"Transcribed locus"
"ANAPC13"	"**Anaphase promoting complex subunit 13"
	
"RBP3"	"Retinol binding protein 3, interstitial"
"RARG"	"Retinoic acid receptor, gamma"
"RB1"	"Retinoblastoma 1 (including osteosarcoma)"
"RGS1"	"Regulator of G-protein signalling 1"
"RCVRN"	"Recoverin"
"RAP1GAP"	"RAP1 GTPase activating protein"
"PRKCQ"	"Protein kinase C, theta"
"EPB41"	"Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)"
"USP8"	"Ubiquitin specific peptidase 8"
"KCNA1"	"Potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)"
"REEP5"	"Receptor accessory protein 5"
"PIK4CA"	"Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide"
"CASP6"	"Caspase 6, apoptosis-related cysteine peptidase"
"CDKN1B"	"Cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
"HMGCS2"	"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)"
"CHD8"	"Chromodomain helicase DNA binding protein 8"
	"Clone 23948 mRNA sequence"
"CCDC106"	"Coiled-coil domain containing 106"
"ADORA2A"	"Adenosine A2a receptor"
"TNK2"	"Tyrosine kinase, non-receptor, 2"
"VBP1"	"Von Hippel-Lindau binding protein 1"
"TLR2"	"Toll-like receptor 2"
"TANK"	"TRAF family member-associated NFKB activator"
"MAP3K7IP1"	"Mitogen-activated protein kinase kinase kinase 7 interacting protein 1"
"CCIN"	"Calicin"
"ALKBH1"	"AlkB, alkylation repair homolog 1 (E. coli)"
"PIK3R4"	"Phosphoinositide-3-kinase, regulatory subunit 4, p150"
"GALNT3"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)"
"SNRPG"	"**Small nuclear ribonucleoprotein polypeptide G"
"SEC23B"	"Sec23 homolog B (S. cerevisiae)"
"NBR1"	"Neighbor of BRCA1 gene 1"
"NFIL3"	"Nuclear factor, interleukin 3 regulated"
"BCAP31"	"B-cell receptor-associated protein 31"
"GNAZ"	"Guanine nucleotide binding protein (G protein), alpha z polypeptide"
"GNAI2"	"Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2"
"GZMK"	"Granzyme K (granzyme 3; tryptase II)"
	
"HGD"	"Homogentisate 1,2-dioxygenase (homogentisate oxidase)"
"TAF6"	"TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa"
"FCGBP"	"Fc fragment of IgG binding protein"
"ISG20"	"Interferon stimulated exonuclease gene 20kDa"
"TFDP2"	"Transcription factor Dp-2 (E2F dimerization partner 2)"
"RFC4"	"Replication factor C (activator 1) 4, 37kDa"
"MED9"	"Mediator of RNA polymerase II transcription, subunit 9 homolog (S. cerevisiae)"
"UPF2"	"UPF2 regulator of nonsense transcripts homolog (yeast)"
"YEATS4"	"YEATS domain containing 4"
"FUSIP1"	"FUS interacting protein (serine/arginine-rich) 1"
	
"ZC3H12C"	"Zinc finger CCCH-type containing 12C"
"MSH5"	"MutS homolog 5 (E. coli)"
	"CDNA clone IMAGE:4813920"
	"Transcribed locus"
"ALS2CL"	"ALS2 C-terminal like"
"NME5"	"Non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)"
"DNAJC8"	"DnaJ (Hsp40) homolog, subfamily C, member 8"
"PLXNB3"	"Plexin B3"
"TCL6"	"T-cell leukemia/lymphoma 6"
"WNT2"	"Wingless-type MMTV integration site family member 2"
"TERF1"	"Telomeric repeat binding factor (NIMA-interacting) 1"
	"**Transcribed locus"
"THOC2"	"THO complex 2"
	"CDNA FLJ37386 fis, clone BRAMY2026538"
"SCN3B"	"Sodium channel, voltage-gated, type III, beta"
"RGS7BP"	"Regulator of G-protein signalling 7 binding protein"
"GDAP1"	"Ganglioside-induced differentiation-associated protein 1"
	"Transcribed locus"
	
	
"ACSL3"	"Acyl-CoA synthetase long-chain family member 3"
"PTPRD"	"**Protein tyrosine phosphatase, receptor type, D"
"DDHD1"	"DDHD domain containing 1"
	"CDNA FLJ37017 fis, clone BRACE2010642"
"ZNF135"	"Zinc finger protein 135"
"UGT2B4"	"UDP glucuronosyltransferase 2 family, polypeptide B4"
"TNNI1"	"Troponin I type 1 (skeletal, slow)"
"TARS"	"Threonyl-tRNA synthetase"
"SNRPE"	"Small nuclear ribonucleoprotein polypeptide E"
"SPAG11A"	"Sperm associated antigen 11A"
"RPL15"	"Ribosomal protein L15"
"ZW10"	"ZW10, kinetochore associated, homolog (Drosophila)"
"ARHGAP5"	"Rho GTPase activating protein 5"
"MDFI"	"MyoD family inhibitor"
"SCARB2"	"Scavenger receptor class B, member 2"
"ZBTB5"	"Zinc finger and BTB domain containing 5"
"BBS2"	"Bardet-Biedl syndrome 2"
"UPRT"	"Uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae)"
"HBS1L"	"HBS1-like (S. cerevisiae)"
"POLR3K"	"Polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa"
"DDX41"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 41"
"SELK"	"Selenoprotein K"
"COQ10B"	"Coenzyme Q10 homolog B (S. cerevisiae)"
"TOM1"	"Target of myb1 (chicken)"
"MGC2752"	"**Hypothetical protein MGC2752"
"C9orf140"	"Chromosome 9 open reading frame 140"
	"Transcribed locus, moderately similar to XP_508499.1 similar to hypothetical protein [Pan troglodytes]"
	"Transcribed locus"
"ADCY3"	"Adenylate cyclase 3"
"WWTR1"	"WW domain containing transcription regulator 1"
	"Transcribed locus"
	"Transcribed locus, weakly similar to XP_001060296.1 similar to ribosomal protein L18a [Rattus norvegicus]"
"MRPL2"	"Mitochondrial ribosomal protein L2"
"RPS27L"	"Ribosomal protein S27-like"
"FAM82A"	"Family with sequence similarity 82, member A"
	"Transcribed locus"
	
	"Transcribed locus"
	
	"Transcribed locus"
	"**CDNA FLJ43345 fis, clone NT2RI3008228"
"MRPL46"	"Mitochondrial ribosomal protein L46"
"TncRNA"	"Trophoblast-derived noncoding RNA"
"METTL9"	"Methyltransferase like 9"
"ERLIN2"	"ER lipid raft associated 2"
"INTS4"	"Integrator complex subunit 4"
"TMEM139"	"Transmembrane protein 139"
"MGC16121"	"Hypothetical protein MGC16121"
	
"PGCP"	"Plasma glutamate carboxypeptidase"
"LOC400027"	"**Hypothetical gene supported by BC047417"
"ZC3H11A"	"Zinc finger CCCH-type containing 11A"
	"Transcribed locus"
"MAP9"	"**Microtubule-associated protein 9"
	"Transcribed locus"
"SLC13A4"	"**Solute carrier family 13 (sodium/sulfate symporters), member 4"
"LOC152485"	"Hypothetical protein LOC152485"
"MGC11082"	"Hypothetical protein MGC11082"
"ARF6"	"ADP-ribosylation factor 6"
	"Transcribed locus"
"TRPM1"	"**Transient receptor potential cation channel, subfamily M, member 1"
	
	
"MAK10"	"MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)"
"TSHZ3"	"Teashirt family zinc finger 3"
"CDADC1"	"Cytidine and dCMP deaminase domain containing 1"
	"Full-length cDNA clone CS0DF030YM05 of Fetal brain of Homo sapiens (human)"
"HOOK3"	"Hook homolog 3 (Drosophila)"
"ZNF626"	"Zinc finger protein 626"
	
"REV1"	"REV1 homolog (S. cerevisiae)"
"MMP24"	"Matrix metallopeptidase 24 (membrane-inserted)"
	
	"Transcribed locus"
"SLC25A21"	"Solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21"
	"CDNA clone IMAGE:5268006"
"CBARA1"	"Calcium binding atopy-related autoantigen 1"
	
"LGALS8"	"**Lectin, galactoside-binding, soluble, 8 (galectin 8)"
"FLJ39575"	"Hypothetical protein FLJ39575"
"ZNF664"	"Zinc finger protein 664"
	"**Transcribed locus"
	"Clone TESTIS-609 mRNA sequence"
"UNC84A"	"Unc-84 homolog A (C. elegans)"
"AGPAT5"	"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)"
	"Transcribed locus"
	"Transcribed locus"
"ZKSCAN5"	"Zinc finger with KRAB and SCAN domains 5"
	"Transcribed locus"
"LOC253970"	"Hypothetical protein LOC253970"
"MAP2K1IP1"	"**Mitogen-activated protein kinase kinase 1 interacting protein 1"
"C5orf21"	"Chromosome 5 open reading frame 21"
"USP54"	"Ubiquitin specific peptidase 54"
	"Full length insert cDNA clone ZC40A10"
"CCDC113"	"Coiled-coil domain containing 113"
"ACE2"	"Angiotensin I converting enzyme (peptidyl-dipeptidase A) 2"
"WBSCR28"	"Williams-Beuren syndrome chromosome region 28"
	"Transcribed locus"
	"Prostate-specific P775P mRNA sequence"
	"Transcribed locus"
"FILIP1"	"Filamin A interacting protein 1"
	"Transcribed locus"
	
	"CDNA FLJ42259 fis, clone TKIDN2011289"
	"Transcribed locus, strongly similar to XP_001137222.1 hypothetical protein [Pan troglodytes]"
"C20orf30"	"Chromosome 20 open reading frame 30"
"LOC152573"	"Hypothetical protein BC012029"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
"C6orf153"	"Chromosome 6 open reading frame 153"
	"Transcribed locus"
"ARS2"	"ARS2 protein"
	"Transcribed locus"
"PPIF"	"Peptidylprolyl isomerase F (cyclophilin F)"
"SLC13A4"	"Solute carrier family 13 (sodium/sulfate symporters), member 4"
"DHX30"	"DEAH (Asp-Glu-Ala-His) box polypeptide 30"
	"Transcribed locus"
"TUBD1"	"Tubulin, delta 1"
"PSME4"	"Proteasome (prosome, macropain) activator subunit 4"
"IL13RA1"	"Interleukin 13 receptor, alpha 1"
	"Transcribed locus"
"HSDL2"	"Hydroxysteroid dehydrogenase like 2"
	"Transcribed locus"
"C6orf194"	"Chromosome 6 open reading frame 194"
"RDH10"	"Retinol dehydrogenase 10 (all-trans)"
"C10orf88"	"Chromosome 10 open reading frame 88"
	
	"Transcribed locus"
	"Transcribed locus"
"FCHSD2"	"FCH and double SH3 domains 2"
	"**MRNA; cDNA DKFZp781B2436 (from clone DKFZp781B2436)"
	"Transcribed locus"
"RNF175"	"Ring finger protein 175"
	"Transcribed locus"
"PSEN1"	"Presenilin 1 (Alzheimer disease 3)"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
	"EST from clone 27306, 5' end"
	
	"Transcribed locus"
	
	"Transcribed locus"
	
	"Transcribed locus"
"CCDC131"	"Coiled-coil domain containing 131"
	"Transcribed locus"
	"Transcribed locus"
	"CDNA clone IMAGE:5170949"
	"Transcribed locus"
	
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus, strongly similar to XP_001159560.1 tumor differentially expressed 2-like [Pan troglodytes]"
	"Transcribed locus"
	
"CBLN2"	"Cerebellin 2 precursor"
	"Homo sapiens, clone IMAGE:3863392, mRNA"
"RBCK1"	"RanBP-type and C3HC4-type zinc finger containing 1"
"BAT4"	"HLA-B associated transcript 4"
"MYO5C"	"Myosin VC"
"FAM65A"	"Family with sequence similarity 65, member A"
"NFIA"	"Nuclear factor I/A"
	"**CDNA FLJ10976 fis, clone PLACE1001399"
"IMPA1"	"Inositol(myo)-1(or 4)-monophosphatase 1"
"SLC25A36"	"Solute carrier family 25, member 36"
"DPP7"	"Dipeptidyl-peptidase 7"
"KIFC3"	"Kinesin family member C3"
"LOC90826"	"Hypothetical protein BC004337"
	"CDNA FLJ41934 fis, clone PERIC2005111"
"CYLD"	"Cylindromatosis (turban tumor syndrome)"
	"Transcribed locus"
"ECSM2"	"**Endothelial cell-specific molecule 2"
"CCDC50"	"Coiled-coil domain containing 50"
	"**Transcribed locus"
	"Transcribed locus"
"PPAPDC1A"	"**Phosphatidic acid phosphatase type 2 domain containing 1A"
"LOC728431"	"Hypothetical protein LOC728431"
"KCNMB4"	"Potassium large conductance calcium-activated channel, subfamily M, beta member 4"
"POLR3G"	"Polymerase (RNA) III (DNA directed) polypeptide G (32kD)"
"CIDEB"	"Cell death-inducing DFFA-like effector b"
"WNK3"	"**WNK lysine deficient protein kinase 3"
	
	"**CDNA clone IMAGE:3827723"
"POFUT2"	"Protein O-fucosyltransferase 2"
"PLEKHG4"	"Pleckstrin homology domain containing, family G (with RhoGef domain) member 4"
"MTFR1"	"Mitochondrial fission regulator 1"
	"Transcribed locus"
"CDH19"	"**Cadherin 19, type 2"
"P18SRP"	"P18SRP protein"
"GGPS1"	"Geranylgeranyl diphosphate synthase 1"
	
"CPNE8"	"Copine VIII"
"THSD7A"	"Thrombospondin, type I, domain containing 7A"
"FAM48A"	"Family with sequence similarity 48, member A"
	"Transcribed locus"
	"Transcribed locus"
"LOC654433"	"Hypothetical LOC654433"
	"Transcribed locus"
"C5orf33"	"Chromosome 5 open reading frame 33"
"MGC16169"	"Hypothetical protein MGC16169"
"C1orf173"	"Chromosome 1 open reading frame 173"
"COL4A5"	"Collagen, type IV, alpha 5 (Alport syndrome)"
"SGK2"	"Serum/glucocorticoid regulated kinase 2"
"LOC388789"	"Hypothetical gene supported by AF147354"
"MT1E"	"Metallothionein 1E"
"COL8A1"	"Collagen, type VIII, alpha 1"
"RPS4X"	"Ribosomal protein S4, X-linked"
"KIAA0404"	"Hypothetical protein LOC23130"
"UBA52"	"Ubiquitin A-52 residue ribosomal protein fusion product 1"
"RUNX2"	"Runt-related transcription factor 2"
"TFIP11"	"Tuftelin interacting protein 11"
"CTSA"	"Cathepsin A"
"KIAA0196"	"KIAA0196"
	"Transcribed locus"
"MAPRE1"	"Microtubule-associated protein, RP/EB family, member 1"
	"**Transcribed locus, moderately similar to XP_215754.2 similar to Ubiquitin-conjugating enzyme E2 E3 (Ubiquitin-protein ligase E3) (Ubiquitin carrier protein E3) (Ubiquitin-conjugating enzyme E2-23 kD"
"PFN2"	"Profilin 2"
"TRIP4"	"Thyroid hormone receptor interactor 4"
"TCERG1"	"Transcription elongation regulator 1"
"MMP11"	"Matrix metallopeptidase 11 (stromelysin 3)"
"SNX2"	"**Sorting nexin 2"
"XRCC5"	"X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)"
"BHLHB9"	"Basic helix-loop-helix domain containing, class B, 9"
"DCX"	"Doublecortex; lissencephaly, X-linked (doublecortin)"
"GAS7"	"Growth arrest-specific 7"
"NRXN1"	"Neurexin 1"
"RALGDS"	"Ral guanine nucleotide dissociation stimulator"
	"Full length insert cDNA clone YR17E12"
	
	
	
"SSBP2"	"Single-stranded DNA binding protein 2"
	"CDNA FLJ36375 fis, clone THYMU2008226"
	
"EPB41L4B"	"Erythrocyte membrane protein band 4.1 like 4B"
	
	
	
	
"PPP1R15B"	"Protein phosphatase 1, regulatory (inhibitor) subunit 15B"
"SPATA13"	"**Spermatogenesis associated 13"
"CABC1"	"Chaperone, ABC1 activity of bc1 complex homolog (S. pombe)"
"ACTR8"	"ARP8 actin-related protein 8 homolog (yeast)"
"SPTAN1"	"Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)"
"CYP4Z1"	"Cytochrome P450, family 4, subfamily Z, polypeptide 1"
	
"TIMM22"	"Translocase of inner mitochondrial membrane 22 homolog (yeast)"
"FAIM2"	"Fas apoptotic inhibitory molecule 2"
	"CDNA FLJ44289 fis, clone TRACH2017609"
"MDS032"	"Uncharacterized hematopoietic stem/progenitor cells protein MDS032"
"PDZD2"	"PDZ domain containing 2"
	"Transcribed locus"
"SORBS2"	"Sorbin and SH3 domain containing 2"
"CD53"	"CD53 molecule"
"KIAA1370"	"KIAA1370"
"VCAN"	"Versican"
"CLDN4"	"Claudin 4"
"IRX3"	"Iroquois homeobox protein 3"
	
"COL3A1"	"Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
	"Full-length cDNA clone CS0DK012YA15 of HeLa cells Cot 25-normalized of Homo sapiens (human)"
